,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,1,Mahaalayaa,aagamani,ghantaa,Holiday (Specimen),Classic,,0~1,1~2,,,DATE,2,Pratimaa,sringaar,pralay,Festival (Main),Packet,,0~1,1~2
,,3,1,Prathami,nabaanya,prakriti,Program (Event),Inspection,,2~3,3~4,,,,1,Durgaa,trishul,paraashunaa,Find (Order),Charge,,2~3,3~4
,,,2,Ditiyaa,dadhimukh,grahan,Prepare (Plan),Contact,,4~5,5~6,,,4,2,Singha,chaandmaalaa,aarati,Higher (Negotiate),Crop,,4~5,5~6
,,,3,Tritiyaa,pratishthaa,aabbaahan,Set-up (Shop),Contract,,6~7,7~8,,,,3,Ganesh,sankha,dikshaa,Track (Report),Trade,,6~7,7~8
,,,4,Choturthi,prakaanda,prakaash,Competition (Sport),Stamp,,8~9,9~10,,,,4,Kaartik,vimaan,charchaa,Home (Travel),Induction,,8~9,9~10
,,,5,Panchami,muhurta,bhog,Purchase (Dress),Investment,,10~11,11~12,,,,5,Sarawsati,pustak,rupam,Day-collect (Bank),Craft,,10~11,11~12
,,,6,Sashthi,artha,upawaas,Trial (Attire),Offer,,0~1,1~2,,,,6,Haas,paan,parichay,Promote (Year),Light,,0~1,1~2
,,,7,Saptami,darshan,aakarshan,Special (Food),Bonus,,2~3,3~4,,,,7,Lakkhi,paachaali,kaahaani,Scene (Art),Custom,,2~3,3~4
,,,8,Ashtami,anjali,paridhaan,Local (Tour),Union,,4~5,5~6,,,,8,Pechaa,ratna,patra,Activity (Inspire),Token,,4~5,5~6
,,,9,Navami,aahaar,niyam,Remote (Tour),Jewellery,,6~7,7~8,,,,9,Naarad,mantra,phal,Register (Member),Participate,,6~7,7~8
,,,10,Dashami,visharjan,nidaan,Exchange (Gift),Blog,,8~9,9~10,,,,10,Mahish,shaastra,samashthi,Asset (Estimate),Tile,,8~9,9~10
,,WIDE,x,Ekaadashi,samaapti,aashwin,Agency (Aspire),Contemporary,,10~11,11~12,,,WIDE,x,Sansaar,paatra,stuti,Pot (Flower),Bus,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
