,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,21,Gel,socket,pop,Cap (Attire),Borrow,,0~1,1~2,,,DATE,22,Instant,young,happen,Category (Suit),Brand,,0~1,1~2
,,23,1,Case,wire,hook,Touch (Long),Edition,,2~3,3~4,,,,1,Instruct,worth,motive,Quality (Travel),Course,,2~3,3~4
,,,2,Curve,polish,hit,Priority (Ride),Medium,,4~5,5~6,,,24,2,Server,since,if,Method (Such),General,,4~5,5~6
,,,3,Test,hold,call,Brush (Pocket),Provide,,6~7,7~8,,,,3,Sustain,valve,real,Fridge (Raise),Brick,,6~7,7~8
,,,4,Century,vacuum,cord,Load (Signal),Refill,,8~9,9~10,,,,4,Brown,kitty,mind,Clock (Effort),Range,,8~9,9~10
,,,5,Rank,disk,effect,Badge (Thread),Advance,,10~11,11~12,,,,5,Drop,gender,decide,Tree (Attempt),Candidate,,10~11,11~12
,,,6,Budget,bed,lone,Distribute (Weight),Restore,,0~1,1~2,,,,6,Message,local,fluent,Pattern (Pass),Sequence,,0~1,1~2
,,,7,Support,gun,carbon,Print (Routine),Shelf,,2~3,3~4,,,,7,Much,move,break,Part (Speech),Predict,,2~3,3~4
,,,8,Note,graph,ping,Branch (Pseudo),Positive,,4~5,5~6,,,,8,Accelerate,science,need,Warm (Job),Chemical,,4~5,5~6
,,,9,Word,cube,meet,Mosaic (State),Choice,,6~7,7~8,,,,9,Transact,appear,occur,Function (Fund),Work,,6~7,7~8
,,,10,Right,train,peel,Capture (Secret),Student,,8~9,9~10,,,,10,Contest,value,obvious,Transparent (Attach),Measure,,8~9,9~10
,,WIDE,x,Map,inject,click,Serial (Symbol),Order,,10~11,11~12,,,WIDE,x,Purchase,nozzle,basis,Multitude (Verify),Reference,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,Case,,relay:,:cabin,,,,,,,,,Curve,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,23,Select,dedicate,sum,Grow (New),Safe,,0~1,1~2,,,DATE,24,Shot,exhaust,fire,Electric (Handle),Trouble,,0~1,1~2
,,,1,Catch,law,count,Collect (Stamp),Guard,,2~3,3~4,,,,1,Stream,most,brain,Switch (Exit),Risk,,2~3,3~4
,,,2,Step,view,beat,Glow (Link),Snap,,4~5,5~6,,,,2,Channel,know,tap,Weak (Body),Fast,,4~5,5~6
,,25,3,Cover,via,full,Fuse (Self),Mask,,6~7,7~8,,,,3,Ratio,thin,less,Tract (Issue),Excel,,6~7,7~8
,,,4,Release,caution,clutch,Thrive (Bin),Limit,,8~9,9~10,,,26,4,Reason,bother,deal,Torch (Coupon),File,,8~9,9~10
,,,5,Swipe,inform,hood,Lot (Gear),Empty,,10~11,11~12,,,,5,Through,breach,back,Execute (Mode),Comb,,10~11,11~12
,,,6,Jump,here,follow,Gain (Model),Area,,0~1,1~2,,,,6,Purpose,sense,update,Sudden (Treat),Air,,0~1,1~2
,,,7,Open,hint,exist,Gust (About),Show,,2~3,3~4,,,,7,Alternate,promise,fleet,Inter (Van),Magnet,,2~3,3~4
,,,8,Evident,wing,let,Ration (Term),Depend,,4~5,5~6,,,,8,Formula,paint,stable,Reflect (Volt),Distance,,4~5,5~6
,,,9,Box,scene,wise,Draw (Close),Block,,6~7,7~8,,,,9,Lay,query,raid,Left (Place),Mass,,6~7,7~8
,,,10,Supply,unit,erase,Dynamic (Alert),Velvet,,8~9,9~10,,,,10,Hallmark,asterisk,important,Section (Bracket),Gap,,8~9,9~10
,,WIDE,x,Particle,slope,table,Mean (List),Era,,10~11,11~12,,,WIDE,x,Diagnose,pamphlet,sack,Theory (Shift),Hover,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,Test,,relay:,:cabin,,,,,,,,,Century,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,25,Continue,example,propose,Bear (Available),Private,,0~1,1~2,,,DATE,26,Principal,environment,car,Panel (Ventilator),Pointer,,0~1,1~2
,,,1,Stare,sincere,noun,Burner (Hot),Truth,,2~3,3~4,,,,1,Human,plate,freeze,Lamp (Moment),Physics,,2~3,3~4
,,,2,Style,tie,pronoun,Striker (Up),System,,4~5,5~6,,,,2,Module,bar,processor,Disco (Indication),Electronics,,4~5,5~6
,,,3,Variety,serious,adjective,Prior (Number),Stereo,,6~7,7~8,,,,3,Agent,anchor,aquarium,Tape (Scroll),Chemistry,,6~7,7~8
,,,4,Speed,vocal,verb,Signature (Guess),Tense,,8~9,9~10,,,,4,Eye,poster,bracelet,Roof (Curtain),Biology,,8~9,9~10
,,27,5,Post,asses,adverb,Steer (Tank),Source,,10~11,11~12,,,,5,Card,pastel,wave,Calcium (Powder),Language,,10~11,11~12
,,,6,Vow,rough,preposition,Corner (Track),Double,,0~1,1~2,,,28,6,Yellow,collision,fan,Bamboo (Duster),Technology,,0~1,1~2
,,,7,Address,silence,conjunction,Calculator (Press),Equation,,2~3,3~4,,,,7,Soap,sheet,glass,Jack (Rail),Botany,,2~3,3~4
,,,8,Attendance,mark,interjection,Sprinter (Option),Mirror,,4~5,5~6,,,,8,Product,party,book,Cable (Tag),Numerical,,4~5,5~6
,,,9,Vision,almost,aggregate,Whatever (How),Make,,6~7,7~8,,,,9,Plant,atlas,filter,Phone (Dialler),Art,,6~7,7~8
,,,10,Season,instance,phrase,Governor (Power),Stand,,8~9,9~10,,,,10,Gradient,screen,watch,Factor (Energies),Sport,,8~9,9~10
,,WIDE,x,World,exile,segment,Answer (Prove),Pure,,10~11,11~12,,,WIDE,x,Minister,mountain,chip,Funnel (Connection),Arrow,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,Rank,,relay:,:cabin,,,,,,,,,Budget,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,27,Clip,spend,memorandum,Sand (Wall),Research,,0~1,1~2,,,DATE,28,Pair,wish,mute,Minimum (Item),Wizard,,0~1,1~2
,,,1,Charge,try,classification,Key (Toll),Writing,,2~3,3~4,,,,1,Bell,near,taste,Limited (Process),Nature,,2~3,3~4
,,,2,Other,crush,only,Leap (Layer),Reminding,,4~5,5~6,,,,2,Line,gram,blow,Main (Device),Gravity,,4~5,5~6
,,,3,Mere,waste,bottle,That (Is),Hugging,,6~7,7~8,,,,3,First,bolt,put,Voice (Mobile),Create,,6~7,7~8
,,,4,Pinch,last,sprinkle,Packet (Oil),Shouting,,8~9,9~10,,,,4,Root,band,turn,Start (Get),Thing,,8~9,9~10
,,,5,Buffer ,sake,security,Pump (Strong),Binding,,10~11,11~12,,,,5,Rotate,bank,seal,Scratch (Roam),Regulate,,10~11,11~12
,,,6,Subject,cast,trend,Stop (Magnify),Parsing,,0~1,1~2,,,,6,Relate,shop,final,Clear (Focus),Chain,,0~1,1~2
,,29,7,Asset,while,light,Counter (Use),Loading,,2~3,3~4,,,,7,Both,sure,dice,End (Set),Format,,2~3,3~4
,,,8,All,late,stick,Short (An),Locking,,4~5,5~6,,,30,8,Letter,rack,free,Cause (Check),Original,,4~5,5~6
,,,9,Front,jumble,culture,Prompt (More),Speaking,,6~7,7~8,,,,9,Extra,side,price,Contain (Union),Shine,,6~7,7~8
,,,10,Heavy,skid,summation,Soft (Spin),Riding,,8~9,9~10,,,,10,Notice,fine,sail,Peak (Trace),Foreign,,8~9,9~10
,,WIDE,x,Over,find,organization,Water (Sketch),Assignment,,10~11,11~12,,,WIDE,x,Peer,with,copy,Maximum (Calorie),Wear,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,Support,,relay:,:cabin,,,,,,,,,Note,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,29,Film,claim,bias,Cream (Texture),Joint,,0~1,1~2,,,DATE,30,Contrast,might,sepia,Wind (Trick),Convert,,0~1,1~2
,,,1,Magazine,expect,plural,Eject (Partial),Head,,2~3,3~4,,,,1,Carrier,tomorrow,charcoal,Bulb (Ceremony),Cure,,2~3,3~4
,,,2,Slate,chapter,sip,Cut (Foam),High,,4~5,5~6,,,,2,Boat,friday,index,Wrong (Excuse),Vast,,4~5,5~6
,,,3,Trigger,construct,race,Orbit (Puff),Steam,,6~7,7~8,,,,3,Strict,homework,sandalwood,Wrath (Tide),Bowl,,6~7,7~8
,,,4,Palette,pile,utter,Pat (Born),Diet,,8~9,9~10,,,,4,Army,pound,spill,March (Couch),Shock,,8~9,9~10
,,,5,Hello,friction,plot,Exert (Collar),Old,,10~11,11~12,,,,5,Fin,parent,however,Favourite (Equator),Chest,,10~11,11~12
,,,6,Diamond,swing,acquire,Lean (Stage),Hail,,0~1,1~2,,,,6,Bone,gross,anyway,Begin (Syringe),Trap,,0~1,1~2
,,,7,Turbo,wipe,jolt,Rid (Micro),Pit,,2~3,3~4,,,,7,Sword,clash,garden,Vanish (Carpet),Cassette,,2~3,3~4
,,,8,Epic,buckle,expel,Twin (Rope),Spark,,4~5,5~6,,,,8,Hut,lens,metric,Rubber (Crystal),Shuffle,,4~5,5~6
,,31,9,Umbrella,habit,trip,Split (Wrap),Moist,,6~7,7~8,,,,9,Seizure,diesel,tan,Wool (Fabric),Clap,,6~7,7~8
,,,10,Space,weigh,knot,Studio (Broad),Margin,,8~9,9~10,,,1,10,Pool,yesterday,gas,Rust (Grand),Dirt,,8~9,9~10
,,WIDE,x,Save,lift,coat,Miracle (Finance),Pink,,10~11,11~12,,,WIDE,x,Vehicle,will,indigo,Easy (Candy),Tell,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,Word,,relay:,:cabin,,,,,,,,,Right,,relay:,:cabin
