,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,31,Toast,passage,goggle,Auction (Early),Ash,,0~1,1~2,,,DATE,32,Sir,synth,scape,Turbine (Phase),Coral,,0~1,1~2
,,2,1,Chimney,matte,complement,Vitamin (Good),Home,,2~3,3~4,,,,1,Caramel,gloss,fancy,Tackle (Thirst),Dose,,2~3,3~4
,,,2,Caravan,well,logo,Adapter (Steel),School,,4~5,5~6,,,3,2,Definite,nation,curious,Jeep (Laser),Ton,,4~5,5~6
,,,3,Spice,drum,robot,Pitch (Parade),Hospital,,6~7,7~8,,,,3,Raisin,knife,battery,Albino (Mono),Visa,,6~7,7~8
,,,4,Garage,boundary,rover,Juggle (Complicate),Office,,8~9,9~10,,,,4,Centigrade,chase,child,Sponge (Dollar),Lazy,,8~9,9~10
,,,5,Palace,rain,passion,Challenge (Joke),Court,,10~11,11~12,,,,5,Balloon,shiver,vessel,Authority (Cascade),Nap,,10~11,11~12
,,,6,Tablet,leaf,bill,Defeat (Pretty),Park,,0~1,1~2,,,,6,Chocolate,luggage,violet,Astronomy (Irish),Fat,,0~1,1~2
,,,7,Cinema,fluid,colleague,Month (Corporate),Stadium,,2~3,3~4,,,,7,Radar,macro,circuit,Wrench (Gravel),Wet,,2~3,3~4
,,,8,Glove,storm,smash,Simulate (Billion),River,,4~5,5~6,,,,8,Gum,yolk,vector,Adopt (Blanket),Pulp,,4~5,5~6
,,,9,Award,grass,people,Decision (Thank),Pavilion,,6~7,7~8,,,,9,Marry,ticket,scrub,Twig (Slim),Smog,,6~7,7~8
,,,10,Scooter,angel,escort,Rock (Best),Balcony,,8~9,9~10,,,,10,Alphabet,stitch,needle,Nest (Whistle),Browse,,8~9,9~10
,,WIDE,x,Dial,castle,penny,Fish (Night),Mega,,10~11,11~12,,,WIDE,x,Madam,merge,grind,Flap (Tattoo),Pact,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,,,relay:,:cabin,,,,,,,,,,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,33,,,,,,,0~1,1~2,,,DATE,34,,,,,,,0~1,1~2
,,,1,,,,,,,2~3,3~4,,,,1,,,,,,,2~3,3~4
,,,2,,,,,,,4~5,5~6,,,,2,,,,,,,4~5,5~6
,,4,3,,,,,,,6~7,7~8,,,,3,,,,,,,6~7,7~8
,,,4,,,,,,,8~9,9~10,,,5,4,,,,,,,8~9,9~10
,,,5,,,,,,,10~11,11~12,,,,5,,,,,,,10~11,11~12
,,,6,,,,,,,0~1,1~2,,,,6,,,,,,,0~1,1~2
,,,7,,,,,,,2~3,3~4,,,,7,,,,,,,2~3,3~4
,,,8,,,,,,,4~5,5~6,,,,8,,,,,,,4~5,5~6
,,,9,,,,,,,6~7,7~8,,,,9,,,,,,,6~7,7~8
,,,10,,,,,,,8~9,9~10,,,,10,,,,,,,8~9,9~10
,,WIDE,x,,,,,,,10~11,11~12,,,WIDE,x,,,,,,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,,,relay:,:cabin,,,,,,,,,,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,35,,,,,,,0~1,1~2,,,DATE,36,,,,,,,0~1,1~2
,,,1,,,,,,,2~3,3~4,,,,1,,,,,,,2~3,3~4
,,,2,,,,,,,4~5,5~6,,,,2,,,,,,,4~5,5~6
,,,3,,,,,,,6~7,7~8,,,,3,,,,,,,6~7,7~8
,,,4,,,,,,,8~9,9~10,,,,4,,,,,,,8~9,9~10
,,6,5,,,,,,,10~11,11~12,,,,5,,,,,,,10~11,11~12
,,,6,,,,,,,0~1,1~2,,,7,6,,,,,,,0~1,1~2
,,,7,,,,,,,2~3,3~4,,,,7,,,,,,,2~3,3~4
,,,8,,,,,,,4~5,5~6,,,,8,,,,,,,4~5,5~6
,,,9,,,,,,,6~7,7~8,,,,9,,,,,,,6~7,7~8
,,,10,,,,,,,8~9,9~10,,,,10,,,,,,,8~9,9~10
,,WIDE,x,,,,,,,10~11,11~12,,,WIDE,x,,,,,,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,,,relay:,:cabin,,,,,,,,,,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,37,,,,,,,0~1,1~2,,,DATE,38,,,,,,,0~1,1~2
,,,1,,,,,,,2~3,3~4,,,,1,,,,,,,2~3,3~4
,,,2,,,,,,,4~5,5~6,,,,2,,,,,,,4~5,5~6
,,,3,,,,,,,6~7,7~8,,,,3,,,,,,,6~7,7~8
,,,4,,,,,,,8~9,9~10,,,,4,,,,,,,8~9,9~10
,,,5,,,,,,,10~11,11~12,,,,5,,,,,,,10~11,11~12
,,,6,,,,,,,0~1,1~2,,,,6,,,,,,,0~1,1~2
,,8,7,,,,,,,2~3,3~4,,,,7,,,,,,,2~3,3~4
,,,8,,,,,,,4~5,5~6,,,9,8,,,,,,,4~5,5~6
,,,9,,,,,,,6~7,7~8,,,,9,,,,,,,6~7,7~8
,,,10,,,,,,,8~9,9~10,,,,10,,,,,,,8~9,9~10
,,WIDE,x,,,,,,,10~11,11~12,,,WIDE,x,,,,,,,10~11,11~12
,,,,,,,,,,IF[,]SO,,,,,,,,,,,IF[,]SO
,,,,,,,,,,relay:,:cabin,,,,,,,,,,,relay:,:cabin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AM|PM,AM|PM,,,,,,,,,,,AM|PM,AM|PM
,,DATE,39,,,,,,,0~1,1~2,,,DATE,40,,,,,,,0~1,1~2
,,,1,,,,,,,2~3,3~4,,,,1,,,,,,,2~3,3~4
,,,2,,,,,,,4~5,5~6,,,,2,,,,,,,4~5,5~6
