,,,,,,,,,,,
,,,,,,,,,,AN|IT,AN|IT
,,HOUR,b,Share,pair,skip,Standard (Unit),Elect,,1-1,2-2
,,1,b,Get,part,for,Update (Long),Grade,,3-3,4-4
,,,c,Slab,slip,chain,Cross (Can),Domain,,5-5,6-6
,,,d,Per,comma,tense,Agree (Plate),Break,,7-7,8-8
,,,e,Pile,way,look,Fast (Corner),Sample,,9-9,10-10
,,,f,More,,,,Menu,,11-11,12-12
,,,g,Lid,,,,Initial,,13-13,14-14
,,,h,Cue,,,,Result,,15-15,16-16
,,,i,Own,,,,Reserve,,17-17,18-18
,,,j,New,,,,Space,,19-19,20-20
,,,k,Fill,,,,Progress,,21-21,22-22
,,,l,Let,,,,Information,,23-23,24-24
,,,m,Flat,,,,Vision,,25-25,26-26
,,,n,Some,,,,Specific,,27-27,28-28
,,,o,Form,,,,Session,,29-29,30-30
,,,p,Toll,,,,Ledger,,31-31,32-32
,,,q,Hit,,,,Track,,33-33,34-34
,,,r,Clip,,,,Analysis,,35-35,36-36
,,,s,Spot,,,,Course,,37-37,38-38
,,,t,Fly,,,,Account,,39-39,40-40
,,,u,Mix,,,,Consume,,41-41,42-42
,,,v,Disk,bank,roll,Accept (Rate),Version,,43-43,44-44
,,,w,Neat,prove,warm,Place (Valve),Default,,45-45,46-46
,,,x,Hub,type,area,Shift (One),Class,,47-47,48-48
,,,y,Case,use,above,Equal (Gap),Group,,49-49,50-50
,,TOP,y,Pack,zip,go,Complete (Cost),Parse,,51-51,52-52
,,,,,,,,,,WAVE[,]TONE
,,,,,,,,Get,,star:,:fuse
